mol_chem,ngas,log_c,Pressure_Type,Pressure
CHCl$_3$,10,-3.2,Pint_norm,-0.33403091196669815
CHCl$_3$,100,-2.2,Pint_norm,-0.9153419670065082
CHCl$_3$,1000,-1.2,Pint_norm,0.840223504642846
CHCl$_3$,3000,-0.7,Pint_norm,1.4796645049074448
CHCl$_3$,5000,-0.5,Pint_norm,10.223174566580726
N2,10,-3.2,Pint_norm,0.37218625312270004
N2,100,-2.2,Pint_norm,0.28103210410338736
N2,1000,-1.2,Pint_norm,0.8811537830616567
TN6,10,-3.2,Pint_norm,0.0804519557267222
TN6,100,-2.2,Pint_norm,0.35825153478711913
TN6,1000,-1.2,Pint_norm,-0.842329557586663
TN6,5000,-0.5,Pint_norm,3.1778413186486754
(C$_2$H$_5$)$_2$O,10,-3.2,Pint_norm,0.2586723369303534
(C$_2$H$_5$)$_2$O,100,-2.2,Pint_norm,-0.11773706471289239
(C$_2$H$_5$)$_2$O,1000,-1.2,Pint_norm,0.9114011916980735
(C$_2$H$_5$)$_2$O,3000,-0.7,Pint_norm,5.594347982928499
(C$_2$H$_5$)$_2$O,5000,-0.5,Pint_norm,6.627691433639371
O$_2$,10,-3.2,Pint_norm,-0.055909031067191695
O$_2$,100,-2.2,Pint_norm,0.08900735772960384
O$_2$,1000,-1.2,Pint_norm,2.1345604388170063
C$_2$H$_4$,10,-3.2,Pint_norm,0.10182896347914527
C$_2$H$_4$,100,-2.2,Pint_norm,-0.658898653079295
C$_2$H$_4$,1000,-1.2,Pint_norm,-0.572086563014959
C$_2$H$_4$,5000,-0.5,Pint_norm,10.121178386632138
SN2,10,-3.2,Pint_norm,1.063582396389769
SN2,100,-2.2,Pint_norm,1.0858576602378511
SN2,1000,-1.2,Pint_norm,1.9017664768120066
SN2,5000,-0.5,Pint_norm,5.9717730974587075
SX1,10,-3.2,Pint_norm,0.5351694606385075
SX1,100,-2.2,Pint_norm,0.21749849420313436
SX1,1000,-1.2,Pint_norm,2.343131503974377
SC4,10,-3.2,Pint_norm,0.7425567276592957
SC4,100,-2.2,Pint_norm,1.4292242227761285
SC4,1000,-1.2,Pint_norm,1.792754205859166
TC1,10,-3.2,Pint_norm,0.26068560410725305
TC1,100,-2.2,Pint_norm,1.1006760186489741
TC1,1000,-1.2,Pint_norm,3.461806238591749
CHCl$_3$,10,-3.2,Pext_norm,0.20176203701719242
CHCl$_3$,100,-2.2,Pext_norm,0.010775983881922033
CHCl$_3$,1000,-1.2,Pext_norm,2.665657303332439
CHCl$_3$,3000,-0.7,Pext_norm,6.25808351810544
CHCl$_3$,5000,-0.5,Pext_norm,13.94559261686764
N2,10,-3.2,Pext_norm,-0.8331070601906126
N2,100,-2.2,Pext_norm,-1.5141788893561783
N2,1000,-1.2,Pext_norm,1.9969685679318177
TN6,10,-3.2,Pext_norm,0.43356926014977537
TN6,100,-2.2,Pext_norm,0.569906967340909
TN6,1000,-1.2,Pext_norm,-1.483108676788305
TN6,5000,-0.5,Pext_norm,1.1978849166906365
(C$_2$H$_5$)$_2$O,10,-3.2,Pext_norm,-0.9894099115305155
(C$_2$H$_5$)$_2$O,100,-2.2,Pext_norm,0.4988778732316514
(C$_2$H$_5$)$_2$O,1000,-1.2,Pext_norm,2.8025168884869673
(C$_2$H$_5$)$_2$O,3000,-0.7,Pext_norm,8.497003208623948
(C$_2$H$_5$)$_2$O,5000,-0.5,Pext_norm,9.519103372097575
O$_2$,10,-3.2,Pext_norm,0.40918772621684585
O$_2$,100,-2.2,Pext_norm,0.6303983892005803
O$_2$,1000,-1.2,Pext_norm,5.115268719745707
C$_2$H$_4$,10,-3.2,Pext_norm,-0.5019033837306192
C$_2$H$_4$,100,-2.2,Pext_norm,-0.1563736744494984
C$_2$H$_4$,1000,-1.2,Pext_norm,3.826003485787779
C$_2$H$_4$,5000,-0.5,Pext_norm,11.627346507977247
SN2,10,-3.2,Pext_norm,0.4845680418794962
SN2,100,-2.2,Pext_norm,0.7753139847675354
SN2,1000,-1.2,Pext_norm,1.1794656828183157
SN2,5000,-0.5,Pext_norm,3.115570309637093
SX1,10,-3.2,Pext_norm,-0.720743832685195
SX1,100,-2.2,Pext_norm,0.8692128455040707
SX1,1000,-1.2,Pext_norm,2.873961556285562
SC4,10,-3.2,Pext_norm,-0.62293621994714
SC4,100,-2.2,Pext_norm,0.6553251655195634
SC4,1000,-1.2,Pext_norm,-0.9404168972901225
TC1,10,-3.2,Pext_norm,0.013695683677837356
TC1,100,-2.2,Pext_norm,-1.6310274632147215
TC1,1000,-1.2,Pext_norm,7.369645346748738
