mol,ngas,natoms,C_pore,log_cpore
Chloroform,10,0.0,0.0,-inf
Chloroform,100,14.363636363636363,0.036383515944294016,-1.4390953349200326
Chloroform,1000,116.28571428571429,0.29455515530308196,-0.5308333718412857
Diethyl ether,10,0.8,0.0020264236728467556,-2.6932697497242866
Diethyl ether,100,8.181818181818182,0.020724787563205452,-1.6835099124351303
Diethyl ether,1000,56.285714285714285,0.1425733798395753,-0.8459615549049128
Diethyl ether,2000,141.27272727272728,0.3578479985913475,-0.44630140740955965
Diethyl ether,3000,231.28571428571428,0.585853558274803,-0.2322109279771132
Diethyl ether,5000,309.42857142857144,0.7837917277475129,-0.10579932444118535
Ethylene,10,0.7142857142857143,0.0018093068507560317,-2.742487772394468
Ethylene,100,17.166666666666668,0.043483674646503295,-1.3616737623947015
Ethylene,1000,104.14285714285714,0.2637969388402294,-0.5787302484125123
TN6,10,0.09090909090909091,0.0002302754173689495,-3.6377524218744552
TN6,50,0.0,0.0,-inf
TN6,100,1.0,0.0025330295910584444,-2.59635973671623
TN6,500,6.7272727272727275,0.017040380885302263,-1.768520702143479
TN6,1000,9.0,0.022797266319526,-1.6421172272769051
SN2,10,0.8181818181818182,0.0020724787563205452,-2.6835099124351305
SN2,100,5.545454545454546,0.01404680045950592,-1.852422586863688
SN2,1000,53.36363636363637,0.13517166999557334,-0.8691143206268407
SX1,10,2.727272727272727,0.006908262521068484,-2.1606311671547926
SX1,100,13.181818181818182,0.03338993551849767,-1.4763844196394802
SX1,1000,181.1818181818182,0.4589389068163163,-0.33824512317396754
N2,10,0.18181818181818182,0.000460550834737899,-3.336722426210474
N2,100,6.714285714285714,0.017007484397106698,-1.7693599187947695
N2,200,12.636363636363637,0.032008283014283975,-1.49473762162036
N2,500,32.54545454545455,0.08243859941808392,-1.0838693952305807
N2,1000,73.14285714285714,0.18527302151741762,-0.7321878157546562
