x_int,x_int_1,y_int,y_int_1,mol,ngas,C,x_ext,y_ext
270.59499999999997,287.04,3.2019119381147743,8.696333961409321,Chloroform,0,0.0,309.465,3.345259083613021
270.59499999999997,285.545,3.396650959036416,9.90780964829212,Chloroform,10,0.000625,307.96999999999997,9.0781122624833
270.59499999999997,290.03,4.205856496594285,13.99422083460938,Chloroform,100,0.00625,307.96999999999997,7.807267305794202
266.11,284.05,1.3976079368615952,6.309406159594269,Chloroform,1000,0.0625,303.485,1.9854012277971833
272.09,288.53499999999997,1.2362134889886711,5.042072344170066,Chloroform,3000,0.1875,301.99,-1.49794145971428
272.09,284.05,0.0,-4.454661319626027,Chloroform,5000,0.3125,299.0,-15.10008647941861
269.1,287.04,1.2670815501825103,5.8653302749242116,N2,10,0.000625,307.96999999999997,-6.126028215801632
269.1,285.545,1.3434030945334783,5.016597562730652,N2,100,0.00625,307.96999999999997,-5.582639584035704
270.59499999999997,285.545,2.3209177630122877,6.312330718106489,N2,1000,0.0625,306.475,3.297901101965669
270.59499999999997,287.04,3.2019119381147743,8.696333961409321,TN6,0,0.0,309.465,3.345259083613021
269.1,287.04,1.6427382096834684,5.20660602419925,TN6,10,0.000625,307.96999999999997,7.707736712077029
270.59499999999997,288.53499999999997,2.148065490190607,6.742585131543802,TN6,100,0.00625,309.465,1.3601578105674683
270.59499999999997,287.04,3.802532085878296,11.748266880683426,TN6,1000,0.0625,307.96999999999997,5.835033674281911
272.09,294.515,1.5351983509535998,4.312485433292885,TN6,5000,0.3125,310.96,1.7950860311712606
270.59499999999997,287.04,3.2019119381147743,8.696333961409321,Diethyl ether,0,0.0,309.465,3.345259083613021
269.1,288.53499999999997,2.3330164709351564,8.204911362338006,Diethyl ether,10,0.000625,307.96999999999997,2.7066042506764667
269.1,285.545,2.6618272703169996,6.657004838964513,Diethyl ether,100,0.00625,307.96999999999997,4.070967155875357
267.605,284.05,1.8174824688105566,5.2845907158159555,Diethyl ether,1000,0.0625,304.98,5.35521590569668
270.59499999999997,285.545,0.4381729755184811,3.0016425118071104,Diethyl ether,3000,0.1875,301.99,7.580916025490474
270.59499999999997,285.545,0.6666613063427534,4.557658827628502,Diethyl ether,5000,0.3125,300.495,9.658519725610214
270.59499999999997,285.545,2.9971933441563987,8.303984517012362,Oxygen,10,0.000625,309.465,2.3311443395981186
269.1,287.04,1.7744687034566287,5.407897894083234,Oxygen,100,0.00625,309.465,0.6573386694680075
273.585,293.02,0.609163810338111,2.0081957578277336,Oxygen,1000,0.0625,310.96,4.095044395154265
261.625,318.435,326.1693981346804,239.40817566053053,Oxygen,5000,0.3125,318.435,239.40817566053053
270.59499999999997,287.04,3.2019119381147743,8.696333961409321,Ethylene,0,0.0,309.465,3.345259083613021
269.1,290.03,1.5050611121114024,3.098128865300964,Ethylene,10,0.000625,309.465,-12.110696937450754
270.59499999999997,287.04,3.484812229740367,10.081171040578145,Ethylene,100,0.00625,307.96999999999997,5.309843959044258
267.605,282.555,2.9592703044347077,5.4841933863829295,Ethylene,1000,0.0625,303.485,4.148864345019894
272.09,285.545,0.0,-3.2809220356908355,Ethylene,5000,0.3125,299.0,-11.27412881112516
270.59499999999997,287.04,3.2019119381147743,8.696333961409321,No gas,0,0.0,309.465,3.345259083613021
270.59499999999997,287.04,3.2019119381147743,8.696333961409321,Fullerene,0,0.0,309.465,3.345259083613021
270.59499999999997,288.53499999999997,3.2428375718401377,4.422673975129282,Fullerene,10,0.000625,307.96999999999997,3.5384739833119347
270.59499999999997,290.03,0.6761175216829312,3.7536062232689353,SN2,10,0.000625,309.465,-1.3640903454352227
270.59499999999997,290.03,1.1460631027677,6.266004076610535,SN2,100,0.00625,307.96999999999997,5.358674263658386
270.59499999999997,285.545,1.3620989831914425,3.788108183927008,SN2,1000,0.0625,307.96999999999997,5.161076719258903
273.585,285.545,0.5708318786429878,4.953217110509147,SN2,5000,0.3125,306.475,3.003229866297989
269.1,279.565,1.1419423788889826,5.214169377954036,SX1,10,0.000625,307.96999999999997,3.4399460972805045
270.59499999999997,287.04,2.589261891683785,8.28371559073967,SX1,100,0.00625,309.465,1.5685176694439047
273.585,290.03,1.081599041321236,5.197908287068683,SX1,1000,0.0625,307.96999999999997,4.896653954416029
281.06,293.02,1.8243931017314716,10.39066664087459,SX1,5000,0.3125,306.475,25.509487293755285
270.59499999999997,291.525,1.5079323396858886,8.765036077848523,SC4,10,0.000625,307.96999999999997,2.2928491061152823
269.1,288.53499999999997,0.4765532136553787,3.3715662251076175,SC4,100,0.00625,307.96999999999997,3.501448853649471
272.09,288.53499999999997,0.9934984120299841,8.052338422937655,SC4,1000,0.0625,307.96999999999997,3.024901792404103
252.655,306.475,457.9426290965743,55.260978212651374,SC4,5000,0.3125,306.475,55.260978212651374
270.59499999999997,285.545,2.370794603872163,8.460548394795872,TC1,10,0.000625,307.96999999999997,5.66743792311202
270.59499999999997,290.03,1.51129980711465,7.117555809475167,TC1,100,0.00625,307.96999999999997,3.4201062335291397
275.08,294.515,0.15758333048551876,-2.9986380506603005,TC1,1000,0.0625,310.96,15.394266680186249
257.14,261.625,306.6781239037323,228.05909480913573,TC1,5000,0.3125,261.625,228.05909480913573
