mol,av_ngas,std_gas,ngas,coord,av_nwater,std_water
Oxygen,406.0,7.758865896508329,1000,8200,47.1,3.7
Oxygen,400.9,4.2059481689626175,1000,8250,46.3,4.495553358597805
Oxygen,415.9,4.2059481689626175,1000,8300,42.7,6.679071791798618
Oxygen,413.8,5.81033561853358,1000,8350,53.2,3.994996871087636
Oxygen,409.6,7.116178749862878,1000,8400,58.9,5.990826320300064
Oxygen,411.8,4.935585071701226,1000,8450,59.5,5.5362442142665635
Oxygen,429.3,5.330103188494572,1000,8500,63.7,5.292447448959697
Oxygen,421.9,7.077428911688198,1000,8550,67.6,8.499411744350311
Oxygen,414.8,6.112282715974449,1000,8600,75.6,5.713142742834281
Oxygen,421.7,4.539823785126466,1000,8650,79.3,4.960846701924985
Oxygen,410.1,5.61159513863928,1000,8700,91.9,8.595929269136642
Oxygen,420.2,2.3579652245103193,1000,8750,103.3,11.126994203287786
Oxygen,432.1,4.805205510693585,1000,8800,112.5,12.216791722870616
Oxygen,426.4,5.76541412215983,1000,8850,128.1,13.619471355379401
Oxygen,421.0,5.196152422706632,1000,8900,171.2,16.666133324799727
Oxygen,417.1,3.047950130825634,1000,8950,176.6,12.306096050332128
Oxygen,428.9,5.107837115648853,1000,9000,203.2,17.191858538273284
Oxygen,429.2,3.9698866482558413,1000,9050,232.5,24.483668025849397
Oxygen,430.5,3.138470965295043,1000,9100,279.3,16.068914089010494
Oxygen,436.8,3.249615361854384,1000,9150,320.6,15.81897594662815
Oxygen,436.4,4.758150901348127,1000,9200,365.1,12.926329718833571
Oxygen,421.8,4.995998398718719,1000,9250,400.7,27.77426866723947
Oxygen,432.9,5.629387178015028,1000,9300,459.7,23.246720198772127
Oxygen,433.1,2.2561028345356955,1000,9350,525.7,21.808484587426058
Oxygen,411.8,3.867815921162743,1000,9400,604.3,20.669059001318853
Oxygen,429.1,5.374941860150675,1000,9450,668.5,12.619429464123963
Oxygen,432.4,4.40908153700972,1000,9500,682.9,12.210241602851271
Oxygen,430.1,3.419064199455752,1000,9550,761.7,19.940160480798543
Oxygen,430.3,6.435060217278468,1000,9600,814.8,20.73547684525244
Oxygen,440.0,4.959838707054898,1000,9650,843.1,10.290286682109492
Oxygen,424.7,3.8742741255621027,1000,9700,883.2,18.66976164818394
Oxygen,436.1,5.8898217290508885,1000,9750,939.3,17.793538152936307
Oxygen,440.2,4.874423042781576,1000,9800,972.8,24.19008061168875
Oxygen,431.7,3.8999999999999995,1000,9850,1033.6,20.718108021728238
Oxygen,430.2,3.7363083384538807,1000,9900,1094.3,24.070936832620372
Oxygen,432.0,3.9749213828703582,1000,9950,1141.1,19.997249810911498
Oxygen,427.4,3.7735924528226414,1000,10000,1230.7,14.966963619919705
Oxygen,425.5,4.224926034855522,1000,10050,1285.2,30.61960156501061
Oxygen,433.4,2.0099751242241783,1000,10100,1304.8,15.93612248948909
Oxygen,433.5,6.34428877022476,1000,10150,1366.5,15.666843970627907
Oxygen,427.4,4.63033476111609,1000,10200,1426.1,13.224598292575847
Oxygen,428.7,7.523961722390672,1000,10250,1474.2,13.280060240827222
Oxygen,423.0,3.605551275463989,1000,10300,1545.9,14.12409289122668
Oxygen,424.5,3.2939338184001206,1000,10350,1583.0,17.123083834403193
Oxygen,438.0,6.511528238439882,1000,10400,1613.2,24.806450773941844
Oxygen,442.8,6.046486583132389,1000,10450,1651.2,21.83483455398735
Oxygen,431.4,2.6907248094147422,1000,10500,1835.1,12.794139283281233
Oxygen,446.2,2.315167380558045,1000,10550,1873.2,19.978988963408533
Oxygen,434.7,4.754997371187496,1000,10600,1880.7,16.340440630533806
Oxygen,424.4,5.730619512757761,1000,10650,1928.9,12.918591254467339
Oxygen,424.6,4.34050688284214,1000,10700,1936.1,13.224598292575847
Oxygen,422.4,3.7202150475476548,1000,10750,1984.8,13.77534028617805
Oxygen,444.7,5.550675634551167,1000,10800,1996.2,14.211263138792413
